Procedural__SID,Procedural__household,Demographic__DOB,Demographic__Sex,year,Big5__C_thorough,Big5__E_communic,Big5__A_coarse,Big5__O_original,Big5__N_worry,Big5__A_forgive,Big5__C_lazy,Big5__E_sociable,Big5__O_artistic,Big5__N_nervous,Big5__C_efficient,Big5__E_reserved,Big5__A_friendly,Big5__O_imagin,Big5__N_dealStress,LifeEvent__ChldBrth,LifeEvent__ChldMvOut,LifeEvent__Divorce,LifeEvent__DadDied,LifeEvent__NewPart,LifeEvent__Married,LifeEvent__MomDied,LifeEvent__MoveIn,LifeEvent__PartDied,LifeEvent__SepPart
4901,493,1925,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4901,493,1925,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
4901,493,1925,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
4901,493,1925,2,2013,6,5,4,2,3,5,2,5,-1,2,5,4,5,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5201,523,1955,1,2005,7,5,2,6,6,7,1,2,4,2,7,4,6,5,6,-2,1,-2,-2,NA,-2,-2,-2,-2,-2
5201,523,1955,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,1,-2,-2,NA,-2,-2,-2,-2,-2
5201,523,1955,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5201,523,1955,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,1,NA,-2,-2,-2,-2,-2
5201,523,1955,1,2009,7,6,6,5,5,7,6,5,4,3,6,3,5,6,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5201,523,1955,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5201,523,1955,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5201,523,1955,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5201,523,1955,1,2013,7,4,4,5,4,6,5,6,3,3,6,4,6,6,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5201,523,1955,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5201,523,1955,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5202,523,1956,2,2005,6,5,3,5,5,4,3,5,5,5,6,6,6,6,4,-2,1,-2,-2,NA,-2,-2,-2,-2,-2
5202,523,1956,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,1,-2,-2,NA,-2,-2,-2,-2,-2
5202,523,1956,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5202,523,1956,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5202,523,1956,2,2009,7,4,2,5,6,3,5,4,4,5,6,6,6,6,2,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5202,523,1956,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5202,523,1956,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5202,523,1956,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5202,523,1956,2,2013,7,5,2,3,7,6,6,5,4,6,6,4,6,5,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5202,523,1956,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5202,523,1956,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5203,523,1982,2,2005,6,7,3,4,2,6,4,5,3,3,6,4,5,6,3,-2,-2,-2,-2,NA,-2,-2,1,-2,-2
5203,523,1982,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,1,-2,-2
5203,523,1982,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5203,523,1982,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5203,523,1982,2,2009,3,5,3,4,5,6,3,4,2,2,4,3,6,5,2,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5203,523,1982,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5203,523,1982,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5203,523,1982,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5203,523,1982,2,2013,7,7,3,2,2,7,5,6,6,4,5,3,5,7,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5203,523,1982,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5203,523,1982,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5302,531,1929,2,2005,5,7,1,4,2,7,2,7,5,2,6,2,7,4,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5303,531,1969,1,2005,4,5,2,4,6,4,5,4,4,4,4,6,6,6,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,1
5303,531,1969,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,1,-2,-2,-2
5303,531,1969,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,1,-2,-2
5303,531,1969,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5303,531,1969,1,2009,2,4,1,5,5,5,7,3,5,3,6,6,6,6,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5303,531,1969,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5303,531,1969,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5303,531,1969,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5303,531,1969,1,2013,4,5,3,5,5,5,6,5,5,2,5,4,7,6,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5303,531,1969,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5303,531,1969,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5601,566,1937,2,2005,7,7,4,5,7,6,1,7,7,1,6,4,7,7,5,-2,-2,1,-2,NA,-2,-2,-2,-2,-2
5601,566,1937,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5601,566,1937,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5601,566,1937,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5601,566,1937,2,2009,7,7,2,6,5,6,1,7,4,1,7,2,6,6,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5601,566,1937,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5601,566,1937,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5601,566,1937,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
5702,574,1939,2,2005,6,4,7,3,7,4,1,4,5,7,7,6,6,3,7,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5702,574,1939,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5702,574,1939,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5702,574,1939,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5702,574,1939,2,2009,6,2,5,2,7,1,1,2,2,1,7,6,5,4,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5702,574,1939,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
5702,574,1939,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7301,736,1930,1,2005,7,5,4,5,3,6,1,5,6,2,7,4,6,3,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7301,736,1930,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7301,736,1930,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7301,736,1930,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7301,736,1930,1,2009,6,3,5,3,2,3,2,3,5,6,6,6,5,3,2,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7301,736,1930,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7301,736,1930,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7301,736,1930,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7301,736,1930,1,2013,3,5,4,2,4,2,3,3,6,5,2,6,5,5,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7301,736,1930,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7301,736,1930,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7302,736,1938,2,2005,7,5,3,4,2,6,1,4,5,1,7,3,6,4,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7302,736,1938,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7302,736,1938,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7302,736,1938,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7302,736,1938,2,2009,6,6,2,4,5,6,3,5,5,5,5,5,5,5,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7302,736,1938,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7302,736,1938,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7302,736,1938,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7302,736,1938,2,2013,6,6,4,5,5,6,2,7,7,6,6,4,7,6,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7302,736,1938,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7302,736,1938,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7303,736,1970,1,2005,6,5,3,3,6,6,2,4,2,5,5,6,6,4,2,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
7303,736,1970,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10101,1015,1938,1,2005,5,5,5,4,6,6,7,5,5,6,5,6,6,6,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10101,1015,1938,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10101,1015,1938,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10101,1015,1938,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10101,1015,1938,1,2009,5,5,6,4,4,5,4,4,6,6,5,4,5,6,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10101,1015,1938,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10101,1015,1938,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10101,1015,1938,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10101,1015,1938,1,2013,7,5,5,5,7,7,5,5,4,4,5,6,6,7,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10101,1015,1938,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10101,1015,1938,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10201,1023,1936,2,2005,6,6,1,4,4,5,1,4,1,2,7,4,7,6,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10201,1023,1936,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10201,1023,1936,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10201,1023,1936,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10201,1023,1936,2,2009,6,5,2,2,5,2,2,6,3,2,6,4,6,4,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10201,1023,1936,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
10201,1023,1936,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
10301,1031,1934,1,2005,7,4,6,1,6,6,6,3,1,5,5,5,6,5,1,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
